"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
14,"Society/Organizations",4255,95695,1507
14,"News/Journalism",1266,56864,532
14,"Arts/Video",966,7117,32
14,"Home/Family",788,308363,1709
14,"Sports/Golf",406,18278,258
14,"News/Weblogs",350,28474,193
14,"Science/Biology",172,11647,562
14,"Games/Video Games",167,22160,144
14,"Home/Home Improvement",108,1976,51
14,"World/Deutsch",86,1999,176
14,"Science/Math",75,3488,338
14,"Shopping/Food",62,2526,99
14,"Sports/Basketball",51,938,111
14,"Shopping/Vehicles",28,4683,92
14,"Computers/Software",17,791,105
14,"Shopping/Crafts",12,747,66
14,"Business/Information Services",1,33,9
13,"Business/Business Services",1001,20321,1022
13,"Home/Gardening",826,10142,335
13,"Health/Medicine",329,19528,443
13,"Games/Video Games/Console Platforms",203,41018,154
13,"Health/Conditions and Diseases",194,250034,426
13,"Society/Philanthropy",170,313929,372
13,"Sports/Boxing",132,485,38
13,"Computers/Internet/E-mail",99,27697,385
13,"Society/Philosophy",88,7062,319
13,"Sports/Martial Arts",68,1172,133
13,"Sports/Tennis",44,80781,155
13,"Shopping/Consumer Electronics",42,3070,123
13,"Computers/Education",42,2458,127
13,"Health/Dentistry",41,28489,140
13,"Games/Video Games/Multiplayer",28,1566,44
13,"Reference/Archives",10,296,47
12,"Computers/Security",820,32735,523
12,"Business/Industrial Goods and Services",756,329720,1007
12,"Regional/Asia",295,131733,462
12,"Computers/Software/Shareware",291,24364,87
12,"Arts/Weblogs",186,5277,45
12,"Computers",163,1492,93
12,"Arts/Genres",96,18733,76
12,"Recreation/Boating",80,7813,185
12,"Computers/Internet/Proxying and Filtering",70,533,63
12,"Business/E-Commerce",64,5367,70
12,"News/Weather",44,1256,78
12,"Games",35,3291,35
12,"Arts/Directories",32,194,43
12,"Games/Video Games/Action-Adventure",22,9264,42
12,"Health/Child Health",17,458,46
12,"Reference/Directories",9,45024,103
11,"Sports/Track and Field",349,1232,70
11,"Business/News and Media",295,2284,184
11,"Business/Employment",118,6763,263
11,"Business/International Business and Trade",88,3177,96
11,"Home/Apartment Living",87,976,25
11,"Business/Hospitality",85,5562,140
11,"Sports",54,1943,135
11,"Computers/Software/Graphics",52,9855,146
11,"Business/Information Technology",45,5227,200
11,"Computers/Internet/Consultants",42,292,30
11,"Reference/Biography",38,1025,19
11,"Society/Disabled",33,7945,130
11,"Sports/Water Sports",32,1280,118
11,"Computers/Shopping",31,422,38
11,"Reference/Knowledge Management",22,209509,82
11,"Games/Video Games/Downloads",16,52,12
11,"Business/Retail Trade",12,572,63
11,"Adult/Society",10,1305,151
11,"Health/Public Health and Safety",8,636,54
11,"Games/Video Games/Clans and Guilds",5,234,17
11,"Games/Resources",3,99,10
11,"Sports/Organizations",2,10892,17
11,"Home/Homeowners",1,38,5
10,"Sports/Equestrian",7066,22234,487
10,"Business/Management",1876,18499,240
10,"Shopping/Clothing",227,1522,155
10,"World/Català",224,8856,24
10,"Business/Directories",212,40254,208
10,"Arts/Architecture",176,216247,217
10,"Arts/Illustration",135,4537,105
10,"Shopping/Home and Garden",128,863,161
10,"Science/Astronomy",116,4015,213
10,"Games/Video Games/Adventure",97,974,39
10,"Society/Subcultures",73,21267,373
10,"Computers/Internet/Domain Names",68,10058,120
10,"Regional/Oceania",63,8753,86
10,"Health/Nutrition",46,2542,78
10,"Shopping/Children",30,5054,44
10,"Society/Crime",10,169,53
10,"Science/Publications",8,266,60
10,"Computers/Software/Networking",4,3303,54
10,"Business/Business and Society",4,82,19
10,"Computers/Software/Editors",2,266,16
10,"Reference/World Records",1,16,4
9,"Business/Construction and Maintenance",583,70674,671
9,"Games/Online",413,43620,110
9,"Shopping/Publications",298,13919,280
9,"Arts/Organizations",293,4312,43
9,"Health/Alternative",148,74336,297
9,"Sports/Cycling",86,3716,171
9,"Sports/Events",77,727,51
9,"Health/Addictions",62,244,66
9,"Sports/Wrestling",57,729,43
9,"Games/Gambling",48,1732,139
9,"Recreation/Models",45,452,78
9,"Games/Video Games/Puzzle",42,120,18
9,"Health/Nursing",29,1126,72
9,"Arts/Education",28,2615,143
9,"Recreation/Theme Parks",27,1147,67
9,"Recreation/Trains and Railroads",17,1198,31
9,"Computers/Software/ERP",15,1406,26
9,"Sports/Fantasy",13,14861,32
9,"Computers/Software/Groupware",11,176,17
9,"Reference/Quotations",7,4771,21
9,"Business/Major Companies",6,20262,59
9,"Health/Resources",3,63,17
9,"Sports/Croquet",1,11,4
8,"Computers/Programming/Resources",4218,82323,108
8,"Home/Do-It-Yourself",644,2747,69
8,"Games/Video Games/Strategy",564,39091,149
8,"Science/News and Media",382,16576,123
8,"Arts/Art History",115,2920,144
8,"Arts/Crafts",108,59571,211
8,"Reference/Maps",107,156045,630
8,"Computers/Software/Retailers",65,141,27
8,"Recreation/Aviation",51,992,112
8,"Computers/Organizations",45,831,84
8,"Health/Pharmacy",43,736,38
8,"Computers/Computer Science/Academic Departments",40,19047,91
8,"Arts/Awards",38,69,6
8,"Health/Animal",35,80272,87
8,"Business/Agriculture and Forestry",32,2517,202
8,"Society/Military",27,4473,163
8,"Games/Conventions",26,6732,28
8,"Society/Death",13,1359,36
8,"Computers/Software/File Management",12,4992,41
8,"Society/Work",11,741,119
8,"Home/Homemaking",6,31,12
8,"Computers/Internet/Publications",6,33,11
8,"Computers/Software/Build Management",3,33,5
8,"Computers/Hacking",3,361,59
7,"Adult/Regional",952,268767,887
7,"Games/Video Games/Shooter",660,77961,134
7,"Health/Women's Health",623,1970,42
7,"Business/Textiles and Nonwovens",514,24922,367
7,"Society/Holidays",102,35273,121
7,"Computers/Companies",86,5748,192
7,"Computers/Open Source",85,12478,291
7,"Games/Roleplaying",80,804,110
7,"Regional",72,1117,132
7,"Recreation/Audio",52,5983,56
7,"World/Français",51,1700,56
7,"Computers/Internet/Abuse",42,512,31
7,"Health/News and Media",38,26540,84
7,"Games/Video Games/Action",37,7421,51
7,"Society/Lifestyle Choices",32,449,73
7,"Computers/Programming/Development Tools",29,247,38
7,"Computers/Software/Project Management",26,315,28
7,"Recreation/Collecting",25,6933,184
7,"Computers/Internet/Protocols",24,600,102
7,"Computers/Internet/WWW",23,54,7
7,"Arts/Digital",17,1026,43
7,"Business/Crypto",12,268,60
7,"Computers/Internet/Routers and Routing",6,309,43
7,"Science/Research Groups and Centers",5,283,52
7,"Sports/Multi-Sports",1,90,12
6,"Shopping/Visual Arts",737,129322,187
6,"Games/Video Games/Simulation",83,364,45
6,"Computers/History",50,1076,50
6,"Society/Sexuality",28,22873,46
6,"Reference/Encyclopedias",27,13662,37
6,"Shopping/Photography",23,847,24
6,"Computers/Programming/Personal Pages",19,328,38
6,"Shopping/Jewelry",19,4317,97
6,"Shopping/Antiques and Collectibles",18,2484,72
6,"Games/Video Games/Browser Based",14,554,80
6,"Computers/Software/Human Resources",14,122,29
6,"Shopping/Recreation",11,231,40
6,"Health/Senior Health",7,14736,120
6,"Recreation/Guns",6,55,21
6,"Computers/Internet/Broadcasting",4,339,9
6,"Sports/Gaelic",4,90,12
6,"Business/Chemicals",4,348,79
6,"Science/Reference",2,13622,16
6,"Computers/Computer Science/Research Institutes",1,173,29
6,"Sports/Paintball",1,4853,13
5,"Regional/Middle East",179,54362,121
5,"Games/Board Games",149,35362,213
5,"Computers/Graphics",114,6907,139
5,"Computers/Programming/Metaprogramming",73,28,9
5,"Business/Customer Service",59,399,80
5,"Sports/Bowling",44,80361,12
5,"News/Current Events",34,1050,49
5,"Computers/Software/Business",33,24494,86
5,"Home/Urban Living",28,246,19
5,"World/Türkçe",24,329,14
5,"Arts/Other",24,512,26
5,"News/Analysis and Opinion",23,765,53
5,"Shopping/Pets",14,297,28
5,"Recreation/Antiques",12,7596,59
5,"Computers/Robotics",11,241,29
5,"Home/News and Media",11,486,41
5,"Computers/Data Communications",10,5821,70
5,"Recreation/Drugs",7,53,19
5,"Science/Chemistry",7,198,68
5,"Health/Beauty",5,308,42
5,"Computers/Software/Fonts",3,30,8
5,"Health/Directories",1,26,10
5,"Computers/Software/Licensing",1,5,1
5,"Computers/Computer Science/Computer Graphics",1,75,13
4,"Adult/Shopping",252,82705,476
4,"Adult/Computers",154,1298,88
4,"Games/Miniatures",88,1694,36
4,"Shopping/Office Products",48,606,28
4,"Business/Mining and Drilling",31,54,8
4,"Computers/Software/Business Drawing",31,88,16
4,"Sports/Badminton",12,284,10
4,"Computers/Software/Accounting",11,259,40
4,"Games/Coin-Op",10,126,24
4,"Adult/Image Galleries",9,5465,62
4,"Science",8,2033,84
4,"Computers/Programming/Software Testing",6,606,6
4,"Adult/News",5,102,8
4,"Sports/Extreme Sports",3,15,6
4,"Reference/Almanacs",3,12,8
4,"News/Extended Coverage",3,6,1
4,"Computers/Internet/Statistics and Demographics",1,77,28
4,"News/Personalized News",1,223,4
4,"Computers/Software/Consultants",1,5,4
3,"Recreation/Climbing",56,4848,33
3,"Health/Organizations",54,287,33
3,"Computers/Artificial Intelligence",35,19693,153
3,"Science/Agriculture",34,43434,252
3,"Computers/Speech Technology",18,121,20
3,"Computers/Desktop Publishing",14,221,15
3,"World/Polski",13,573,23
3,"Computers/Computer Science/Theoretical",11,201,31
3,"Games/Dice",5,48,4
3,"Society/Transgender",5,186,32
3,"Business/Accounting",5,20159,53
3,"Computers/Programming/Databases",4,7,3
3,"Recreation/Nudism",4,619,27
3,"News/Headline Links",4,203,34
3,"Recreation/Roads and Highways",4,317,39
3,"Computers/Software/Data Administration",4,6,3
3,"Computers/Software/Document Management",3,124,27
3,"Computers/Computer Science/People",3,53,19
3,"World/Español",3,159,20
3,"Computers/Internet/Telephony",1,13,5
3,"Shopping/Ethnic and Regional",1,31,12
3,"Business/Cooperatives",1,32,11
3,"Arts/Humanities",1,112,27
2,"Recreation/Living History",44,166,21
2,"Business/Associations",23,3120,55
2,"Games/Video Games/Sports",15,8553,45
2,"Arts/Graphic Design",13,2595,96
2,"Games/Video Games/Driving and Racing",12,451,27
2,"Computers/Software/Educational",10,207,26
2,"Computers/Software/Disk Management",9,1697,15
2,"Games/Card Games",8,556,24
2,"Business/Wholesale Trade",8,55,16
2,"Society/Future",5,190,60
2,"Shopping/Flowers",5,248,44
2,"Games/Video Games/Handheld Platforms",5,25,4
2,"Recreation/Camps",4,77,10
2,"Shopping/Auctions",4,27,14
2,"Arts/Classical Studies",3,54,18
2,"Games/Video Games/Recreation",3,37,17
2,"Home/Rural Living",3,2019,10
2,"Sports/Jai Alai",1,26,8
2,"Health/Education",1,611,13
2,"Business/Other",1,1,1
2,"Sports/Squash",1,24,5
2,"Sports/Cue Sports",1,544,10
2,"Computers/Emulators",1,274,42
2,"News/Chats and Forums",1,20,4
1,"Shopping/Directories",100,2009,16
1,"Games/Video Games/Game Design",31,2053,23
1,"Reference",24,8747,52
1,"Games/Puzzles",7,764,51
1,"Computers/Programming/Component Frameworks",5,246,40
1,"Computers/Software/Help Desk",3,37,10
1,"Computers/Internet/Education",2,10,3
1,"Computers/Software/History",1,18,4
1,"Computers/Computer Science",1,81,23
1,"Science/Organizations",1,248,31
1,"Computers/Artificial Life",1,645,9
1,"Health/Occupational Health and Safety",1,31,11
1,"Computers/Software/Marketing",1,66,17
0,"Computers/CAD and CAM",24,146,18
0,"Sports/Skating",15,208,21
0,"Computers/Software/Communications",12,1,1
0,"Reference/Ask an Expert",10,790,28
0,"World/Norsk",10,5106,1
0,"Games/Video Games/Music",7,480,13
0,"Computers/Internet/File Sharing",6,2209,29
0,"Computers/Software/Workflow",6,29,9
0,"Computers/Software/Software Engineering",5,48,16
0,"Computers/Internet/History",4,368,22
0,"Recreation/Kites",3,5,2
0,"Computers/Internet/Cloud Computing",3,990,23
0,"Health/Senses",2,9,5
0,"Computers/Other",2,4,2
0,"Science/Educational Resources",2,200,29
0,"Business/Environment",2,517,36
0,"Games/Video Games/History",2,15,6
0,"Games/Video Games/Emulation",2,292,28
0,"Recreation/Scouting",2,282,31
0,"Games/Video Games/Platform",2,6696,18
0,"Sports/Animal Sports",2,110,10
0,"Sports/Skateboarding",2,15,7
0,"Regional/Central America",1,66,24
0,"Games/Game Studies",1,13457,45
0,"Sports/Team Handball",1,100,19
0,"Sports/Walking",1,7,4
0,"Arts/Bodyart",1,96,15
0,"Health/Weight Loss",1,73,22
0,"Sports/Cheerleading",1,21,4
0,"Games/Video Games/Directories",1,34,6
0,"Computers/Programming/Methodologies",1,683,45
0,"News/Internet Broadcasts",1,817,5
0,"World/Ukrainian",1,8,1
0,"Sports/Orienteering",1,36,5
0,"Games/Trading Card Games",1,96,17
0,"Sports/Softball",1,38,12
0,"Health/Professions",1,46,21
0,"Computers/Software/System Management",1,12,4
0,"Sports/Korfball",1,1,1
0,"Adult/Business",1,77,21
0,"Computers/Software/Device Drivers",1,109,11
0,"Computers/Software/Online Training",0,6,3
0,"Health/Men's Health",0,32,6
0,"Sports/Pesäpallo",0,1,1
0,"News/Satire",0,2,1
0,"Sports/Table Tennis",0,19,6
0,"Computers/Human-Computer Interaction",0,117,30
0,"Games/Video Games/Chats and Forums",0,81,25
0,"Computers/Programming/Graphics",0,39,9
0,"World/Magyar",0,1,1
0,"Arts/Chats and Forums",0,1,1
0,"Sports/Handball",0,18,1
0,"Computers/Programming/Operating Systems",0,1,1
0,"Sports/Women",0,1,1
0,"News/Other",0,8,2
0,"Health/Products and Shopping",0,17,2
0,"Reference/Books",0,1,1
0,"Sports/College and University",0,3,3
0,"Recreation/Parties",0,82,6
0,"Computers/Software/Backup",0,476,41
0,"Regional/Africa",0,279,30
0,"Games/Video Games/Construction",0,62,5
0,"Home/Personal Organization",0,66,18
0,"Reference/Thesauri",0,8,1
0,"Arts/News and Media",0,11,2
0,"Computers/Usenet",0,198,23
0,"Sports/Darts",0,8018,8
0,"Shopping/Tobacco",0,5,3
0,"Games/Paper and Pencil",0,2,1
0,"Society/Support Groups",0,5,2
0,"Computers/Software/Abandonware",0,37,5
0,"Games/Video Games/Educational",0,1,1
0,"Games/Hand Games",0,1,1
0,"World/Nederlands",0,460,17
0,"World/Português",0,44,6
0,"Computers/Software/Search Engines",0,2,1
0,"Science/Academic Departments",0,35,9
0,"World/Svenska",0,8,5
0,"Computers/Programming/Compilers",0,88,20
0,"World/Japanese",0,9,2
0,"Sports/Adventure Racing",0,40,2
0,"Computers/Computer Science/Conferences",0,31,14
0,"Computers/Software/Spreadsheets",0,8,5
0,"Shopping/Travel",0,19,3
0,"Sports/Disabled",0,465,38
0,"Science/Software",0,31,8
0,"Sports/Rodeo",0,2,2
0,"Science/Methods and Techniques",0,9,4
0,"World/Russian",0,18,6
0,"Computers/Software/Barcode",0,1,1
0,"Science/Directories",0,1219,12
0,"Computers/Computer Science/Distributed Computing",0,129,26
0,"Computers/E-Books",0,42,18
0,"Health/Home Health",0,1,1
0,"Health/Search Engines",0,1,1
0,"Games/Video Games/Humor and Jokes",0,16,4
0,"Computers/Software/Conferences and Trade Shows",0,5,2
0,"Sports/Footbag",0,1,1
0,"Reference/Journals",0,33,6
0,"Computers/Programming/Magazines and E-zines",0,4,3
0,"Health/Support Groups",0,100,9
0,"Regional/Polar Regions",0,57,4
0,"Shopping/Weddings",0,4,4
0,"Games/Video Games/Music and Dance",0,7,4
0,"Computers/Software/Object-Oriented",0,2,1
0,"Games/Video Games/Massive Multiplayer Online",0,12,8
0,"World/Română",0,6,4
0,"Reference/Time",0,32,5
0,"Sports/Youth and High School",0,880,36
0,"Arts/Costumes",0,5,3
0,"Games/Tile Games",0,3,2
0,"Computers/Software/Word Processors",0,4,2
0,"Computers/Computer Science/Publications",0,29,7
0,"Society/Advice",0,7,4
0,"Home/Emergency Preparation",0,21,2
0,"Shopping/Death Care",0,9,2
0,"Sports/People",0,16,4
0,"Computers/Programming/Libraries",0,134,11
0,"Recreation/Picture Ratings",0,1,1
0,"World/Bahasa Indonesia",0,61,4
0,"Science/Events",0,33,8
0,"Computers/Bulletin Board Systems",0,1,1
0,"Computers/Software/Information Retrieval",0,5,3
0,"Sports/Airsoft",0,6,4
0,"Home/Moving and Relocating",0,1,1
0,"Sports/Lacrosse",0,4,3
0,"Computers/Internet/Internet Fax",0,1,1
0,"Computers/Computer Science/Database Theory",0,6,3
0,"Health/Aging",0,13,4
0,"Reference/Flags",0,41,9
0,"Home/Entertaining",0,4,3
0,"Computers/Home Automation",0,35,6
0,"Business/Aerospace and Defense",0,3957,24
0,"Computers/Internet/Training",0,1,1
0,"Computers/Programming/Contests",0,12,3
0,"Computers/Software/Presentation",0,1,1
0,"Computers/Software/Rentable",0,1,1
0,"Games/Video Games/Word Games",0,27,7
0,"Recreation/Birding",0,426,19
0,"Science/Employment",0,3,1
0,"Sports/Racquetball",0,4,1
0,"Computers/Software/Diagnostics",0,24,2
0,"Computers/Software/Office Suites",0,1898,18
0,"Computers/Computer Science/Organizations",0,21,7
0,"Computers/Programming/Threads",0,23,2
0,"Sports/Greyhound Racing",0,2,2
0,"Science/Instruments and Supplies",0,45,13
0,"World/Bosanski",0,4,2
0,"Health/Teen Health",0,4,3
0,"Sports/Archery",0,16,4
