Domain,CountryCode,BackLinks_primevideo.com,BackLinks_tv.apple.com,BackLinks_max.com
sapo.pt,PT,8,6,7
jsonline.com,SE,0,7,2
sacbee.com,US,0,13,2
lg.com,US,2,0,1
goodhousekeeping.com,US,5,7,42
dailymail.co.uk,US,7,61,2
aciprensa.com,NL,2,4,0
commentcamarche.net,FR,6,0,2
laughingsquid.com,US,0,16,3
telenet.be,BE,0,4,1
telerama.fr,US,47,16,17
vg.no,NO,10,4,0
linternaute.com,FR,26,0,2
pressherald.com,US,0,3,1
observer.com,US,0,133,73
buzzsprout.com,US,0,3,2
ycombinator.com,US,4,4,1
fastcompany.com,US,2,24,11
apnews.com,US,0,28,13
flashget.com,US,0,58,57
kino.de,DE,47,9,0
prensalibre.com,US,6,6,2
nmu.edu,US,7,5023,0
csusb.edu,US,4,4,0
sciencefriday.com,US,0,2,1
walla.co.il,CA,2,2,0
cyclingnews.com,US,0,36,1
villanova.edu,US,0,11,13
ledevoir.com,US,6,5,0
lavoixdunord.fr,FR,35,3,6
hln.be,US,9,3,22
deadspin.com,US,4,0,1
rnz.co.nz,US,25,3,0
hellomagazine.com,US,2,55,1
newsobserver.com,US,0,26,3
syfy.com,US,0,4,3
europapress.es,EU,4,0,2
kansascity.com,US,0,11,2
vogue.co.uk,US,0,12,2
complex.com,US,3,22,22
rd.com,US,0,69,17
ibtimes.com,US,2,3,0
globe.com.ph,US,35,0,7
hey.com,US,3,10,1
ura.news,RU,2,4,0
laopinion.com,US,0,17,1
asiasociety.org,US,4,4,1
easeus.com,US,13,4,0
nine.com.au,US,24,19,0
elcomercio.pe,US,272,232,66
augsburger-allgemeine.de,US,0,3,4
radiotimes.com,US,2,0,9
ig.com.br,US,65,8,5
twincities.com,US,0,2,2
essence.com,US,0,9,4
northjersey.com,US,0,7,3
avclub.com,US,0,51,101
indystar.com,SE,24,19,22
etonline.com,US,0,164,18
srf.ch,LU,6,6,0
countryliving.com,US,4,21,31
androidauthority.com,US,7,96,11
mlive.com,US,3,4,39
self.com,US,0,2,2
gizmodo.com,FR,0,2,25
id.nl,US,21,5,0
connect-living.de,DE,2,10,0
acb.org,US,0,2,6
sudinfo.be,EU,352,0,56
inman.com,US,0,49,2
muscleandfitness.com,US,4,6,2
lejdd.fr,US,13,2,0
dailyherald.com,US,0,9,5
huffingtonpost.fr,US,14,3,0
courier-journal.com,SE,77,36,17
palmbeachpost.com,US,2,17,3
heavy.com,US,2,13,49
laweekly.com,US,0,5,3
inquirer.net,US,3,2,0
pitchfork.com,US,0,9,1
abril.com.br,US,114,49,6
sandiegouniontribune.com,US,0,17,11
adme.media,NL,32,34,0
tvgids.nl,NL,8453,6190,690
globalplayer.com,UK,2,49,4
sony.de,FR,40,10,0
appbrain.com,US,4,0,3
fangoria.com,US,0,16,6
pcgames.de,DE,11,22,0
metronieuws.nl,US,29,0,7
avsforum.com,NL,2,2,4
computerbild.de,US,0,6,2
wbez.org,US,0,3,1
scarymommy.com,US,4,16,9
trendhunter.com,US,3,2,0
lavozdegalicia.es,US,11,0,2
westword.com,US,0,6,2
oklahoman.com,SE,27,17,5
trustedreviews.com,US,3,122,0
jacksonville.com,US,5,8,1
citynews.ca,NL,0,20,5
androidcentral.com,US,0,45,4
ladepeche.fr,FR,31,6,0
techspot.com,US,0,2,1
desmoinesregister.com,US,0,5,2
sheknows.com,US,5,15,1
letterboxd.com,US,6,11,1
vercel.app,US,0,2,1
martindalecenter.com,US,4,0,1
microsiervos.com,US,19,7,0
npo3fm.nl,DE,3,2,1
astound.com,US,16,0,78
ramapo.edu,US,0,7,2
zive.cz,CZ,468,1187,783
acmi.net.au,AU,6,6,0
the-village.ru,CA,2,9,1
gamekult.com,FR,5,0,2
los40.com,IE,3,2,0
vvdailypress.com,US,0,11,1
howardstern.com,US,0,3,2
boardhost.com,US,0,2,1
goerie.com,SE,0,2,1
blu-ray.com,CA,2,17,281
macobserver.com,US,5,307,2
joblo.com,US,126,123,20
publico.pt,US,10,5,0
ncronline.org,US,2,4,4
dallasobserver.com,US,0,6,1
blog.hu,HU,0,2,1
seznam.cz,CZ,0,3,20
star-telegram.com,US,2,15,13
buffalonews.com,US,0,5,1
digitalspy.com,US,9,107,0
syracuse.com,US,0,6,18
broadwayworld.com,US,3,25,30
thrillist.com,US,0,13,4
francetvinfo.fr,EU,7,2,0
theglobeandmail.com,US,23,15,0
smh.com.au,US,11,3,0
kids-in-mind.com,US,0,5,1
entireweb.com,US,3,0,1
rosco.com,US,0,3,3
exler.ru,DE,9,47,1
wbgo.org,US,0,9,7
documentary.org,DE,4,56,6
telkomsel.com,ID,252,0,13
premiere.fr,US,24,5,4
24-7pressrelease.com,US,6,0,8
wprost.pl,US,2,0,1
elcomercio.com,US,30,4,9
gpb.org,US,0,863,16
presstelegram.com,US,2,0,2
oxygen.com,US,0,2,5
ilpost.it,DE,78,32,0
naplesnews.com,US,3,5,2
wpr.org,US,0,4,4
perfil.com,US,78,16,46
justjared.com,US,13,112,5
clarionledger.com,SE,0,5,3
vibe.com,US,0,2,1
womansday.com,US,2,3,13
delawareonline.com,SE,0,17,2
commercialappeal.com,SE,0,2,1
heraldtribune.com,SE,0,6,2
ny1.com,US,0,6,9
nbcphiladelphia.com,NL,0,59,8
advocate.com,US,0,3,6
philstar.com,US,4,0,1
patheos.com,US,0,5,1
mundodeportivo.com,ES,482,11,1
charlotteobserver.com,US,0,28,6
womenshealthmag.com,US,4,3,61
deadline.com,CA,0,4,2
orange.be,US,4,2,4
elle.de,FR,2,9,0
voetbalzone.nl,IE,2,4,0
peekyou.com,US,21,104,4
lupa.cz,CZ,5,4,7
punto-informatico.it,IT,11,2,0
capital.bg,US,11,0,3
moneysense.ca,US,14,7,0
nyfa.edu,US,3,7,0
avforums.com,US,0,35,1
kapook.com,TH,20,11,7
patriotledger.com,US,0,4,6
bluewin.ch,CH,5,7,0
hna.de,DE,17,0,4
lesnumeriques.com,FR,828,2,107
csfd.cz,CZ,1883,1449,4921
theledger.com,SE,2,6,1
startpagina.nl,CA,4,0,2
numerama.com,FR,260,75,10
rgj.com,US,0,4,1
fox5atlanta.com,EU,2,8,0
floridatoday.com,FR,3,7,4
thestate.com,US,0,21,6
businessinsider.de,US,28,6,0
capital.fr,FR,72,0,2
asiaone.com,SG,6,14,8
spokesman.com,US,0,3,2
deseret.com,US,2,33,6
nbcnewyork.com,US,16,23,21
francebleu.fr,FR,6,5,0
softonic.com,US,2,95,1
ouest-france.fr,US,48,3,1
